🔒 Row ID,Name,Bill Number,date,bill amount,terms,contract no.,quality ,amount jodi-mtr,taga
irScdU1hQDO8kqMPHp5pug,Saket udyog,133,"09/06/2025, 11:12:00",74735,Ncash,,,,
PTSSSRbOSaKnAXAmJL.1Lw,Mahaprabhu Mills,135,"10/06/2025, 10:28:00",45505,70 days,,,,
T7iCTA69Rv-hp.-q6v0gtw,Subhash synthetic,136,"10/06/2025, 10:29:00",56066,Ncash,,,,
sbW2ekVFSSigYHJUmxyWKA,Mahaprabhu Mills,135,"10/06/2025, 13:06:00",45505,70 days,,,,
dak67JboTxGXEAoAehD2YA,Subhash synthetic,136,"10/06/2025, 13:07:00",56066,Ncash,,,,
UclFW9dtQ5Ss-cK0JJWk9Q,Swastik Fabric,137,"10/06/2025, 13:07:00",55894,Ncash,,,,
bAaumGHcQ5WLjQNZXtoBeg,Shri Manglam Fabrics,138,"14/06/2025, 13:07:00",33554,Ncash,,,,
8TLCy3pJSzyTbXWr.FsNuw,Shri Manglam Fabrics,139,"14/06/2025, 13:08:00",34621,Ncash,,,,
NcA-I.uKRuCA.TS8apKoEQ,Suman Synthetics ,140,"14/06/2025, 13:09:00",401450,90 days,,,,
KDEwLR4zSVSxl2m0riPemA,Saket Cotton Mills,141,"14/06/2025, 13:09:00",22275,Ncash,,,,
8YeDbFHqSM2-D9mOYnhnIw,Sitaram sarees,142,"14/06/2025, 13:10:00",64838,Ncash,,,,
9c1fOjznSJyput2gG4Mt5A,Swastik Fabric,143,"16/06/2025, 13:10:00",57388,Ncash,,,,
JyOGJqUpQByb32T5FSW5CQ,M/s Mahalaxmi Fabrics,144,"16/06/2025, 13:40:00",214677,30 days ,,,,
L-PIG97nSJGze0jL4rF81Q,Shri Sachiya Fabrics,145,"16/06/2025, 17:02:00",40611,Ncash,12,"4m*42, 60*48, 60*60, patti ",405,17
xf7PlKbkSjycL6SJm1ozbw,Savita Textiles ,146,"17/06/2025, 17:04:00",44256,70 days,,"7.70*52, 72*68",213,19
IVihdleGS2GOlwkoKIso2g,Maharaja trading company ,147,"19/06/2025, 17:05:00",55843,Ncash,7,"40"", 52*40, pc*d",6097.7,50
xAJdFjyuRwmpXQf6iZnVaw,Govind Textiles Agency ,148,"19/06/2025, 17:06:00",79380,Ncash,6,"6.40*48, 64*52, 60c*60C",400,40
wmFVb-YTTAmz1U-FaR6cSQ,Matulya Textiles ,149,"20/06/2025, 17:07:00",46393,Ncash,8,"40"", 52*40, pc*d",5100.6,42
Q2jV3ATSSX-QL4g8yNZ-xw,Shri Sachiya Fabrics,150,"23/06/2025, 17:08:00",41163,Ncash,12,"4m*42, 60*48, 60*60, patti ",410.5,19
a-wHi97POTjafMsqDWTx-yw,Neminath Texfab Pvt ltd.,151,"23/06/2025, 17:09:00",54129,Ncash,,"6.40*48, 64*52, 60c*60C",286,27
Z5JrKQ-gS0GoIAGigD2BQw,Harish Kumar and company ,153,"24/06/2025, 17:11:00",49444,Ncash,13,"47"", 74*64, 45pc*45pc",2021.9,24.25
VDXYQYK8TD6jAYJkI2gkwg,Rajkamal cotton mills,154,"23/06/2025, 17:12:00",44987,Ncash,15,"47"", 74*64, 45pc*45pc",1858.8,18
Od.mcnEUSgG8sAJyPDfJOw,mallinath cotton mills,155,"24/06/2025, 17:34:00",53335,90 days,14,"7.50*46, 52*48, p*d",517,37
FiFqF3lrRe2xx7Uhi-oC9Q,Saket Cotton Mills,156,"24/06/2025, 17:40:00",30506,30 days ,10,"7m*41, 52*40, pc*d",384,24
PaWrQrITQ0eEvG2YE5xoCw,Mahaprabhu Mills,157,"25/06/2025, 17:40:00",3906,70 days,,,40,3
Sbyo5YLPSX6V3FmeyHgfbA,Mohit fabric,158,"26/06/2025, 17:42:00",54657,70 days,18,"7.80*44, 60*52, 64pc*65psf",411.5,32
y2U0yymQRh-OGZlNG1uvaw,mallinath cotton mills,159,"27/06/2025, 17:44:00",62115,Ncash,1,"6.40*48, 64*52, 60c*60C",313,32
QvY7B0wIShSVjnAI7CibOg,Unnati texcom,160,"01/07/2025, 17:45:00",54923,70 days,9,"7.80*44, 60*52, 64pc*65psf",413.5,32
wSQ5SIWnSuybE9Yz13qU8Q,J.k Tex,161,"01/07/2025, 17:46:00",60555,70 days,16,"7.70*52, 72*68",285.5,27
0I2mfwiNTnCrz9I6bSIyHg,Saket Cotton Mills,162,"01/07/2025, 17:47:00",59784,Ncash,,"6.40*48, 64*52, 60c*60C",316,32
8gnQ1.uESfiR6-1Q2IFTSA,Vinayak finishers,163,"02/07/2025, 17:48:00",51779,30 days ,17,"47"", 74*64, 45pc*45pc",2064.48,20
hso7kMxVRkKv5XxJ2FHRYQ,Suraj cloth corporation ,164,"02/07/2025, 17:49:00",39880,Ncash,20,"7m*41, 52*40, pc*d",502,31
Qz3hDAUfSValJLT8Nlvbcw,Suraj cloth corporation ,165,"02/07/2025, 17:50:00",37775,Ncash,20,"7m*41, 52*40, pc*d",475.5,29
yBVlSwU0QTmtSyDG3kZUIA,Govind Textiles Agency ,166,"03/07/2025, 17:51:00",21473,Ncash,,"4.10*42, 64*52, 40*40, c*c",204.5,11
xyu0zL3fTeapTKUqiAeqbw,Neminath Texfab Pvt ltd.,167,"05/07/2025, 13:57:00",59618,Ncash,,"6.40*48, 64*52, 60c*60C",315,31
3w-C22CFQTGWwLm46wkr0Q,Sushil Trading Company ,168,"05/07/2025, 13:58:00",65800,Ncash,19,"7.80*44, 60*52, 64pc*65psf",514,45
XCoY6fzZSlWkoTai6K5hcw,Shri Chanda Textile Mills ,169,"07/07/2025, 13:59:00",56989,Ncash,22,"7.70*52, 72*68",277,26
321C4I6eTpelvStDEb.lGQ,M/s Mahalaxmi Fabrics,170,"08/07/2025, 18:27:00",323797,30 days ,25,"63"", 3/84*58, 30pv*15pv Twill (shirting)",4071,21
RtQV1r1FSOCwmseMTRlaJA,Subhash synthetic,171,"08/07/2025, 18:30:00",55833,Ncash,7,"40"", 52*40, pc*d",6096.6,50
5WhBUDHVRw20-A.QC4Zn1g,Saurabh synthetics ,172,"08/07/2025, 18:31:00",56166,Ncash,26,"40"", 52*40, pc*d",6175.1,50
b.cQjbTRTqaT6ZsXUGkc3w,mallinath cotton mills,173,"08/07/2025, 18:32:00",62313,Ncash,1,"6.40*48, 64*52, 60c*60C",314,31
zVI7k9HuTU-yt3cc2sdt-w,Suresh fabrics,174,"08/07/2025, 19:15:00",68413,Ncash,32,"4.80*45, 72*64, 64c*84c",415,23
hOKe9sHsR9yNDKySl5VftA,Manoharlal Harishkumar ,175,"09/07/2025, 19:18:00",57947,70 days,11,"7.70*50, 68*60, pc*psf",328.5,26
L20q-x41SACZkp7L9bAijg,Saurabh synthetics ,178,"12/07/2025, 19:47:00",55797,Ncash,26,"40"", 52*40, pc*d",6134.5,50
Om9dNx3lRHCr75aviL1Srg,Harsh creation ,179,"12/07/2025, 19:49:00",310545,30 days ,33,"63"", 3/84*58, 30pv*15pv Twill (shirting)",3841,20
Z2WZSITBTouTR5NzNTw0pQ,Mahaveer fabric,180,"12/07/2025, 20:23:00",127368,Ncash,21,"48"", 63*60, 57pc*65psf",7959.3,48
pNcLRJX0QfqgOggOmdcjuw,Swastik Fabric,181,"14/07/2025, 12:25:00",71343,Netcash,28,"6.40*48, 64*52, 60c*60C",385.5,32
1gB6VAB1Su2KfZEXXD.zBQ,Subhash synthetic,182,"14/07/2025, 12:26:00",56208,Netcash,7,"40"", 52*40, pc*d",50,50
TEzB5gFCRBqoCcF.Ms6-3w,Shri Sachiya Fabrics,183,"14/07/2025, 12:28:00",41108,90 days,2,"7.90*41, 52*44, pc*d",435,36
Zd9QWqN0Q0mNy3juW1piNA,Mahaveer fabric,184,"15/07/2025, 12:29:00",128124,Netcash ,34,"48"", 63*60, 57pc*65psf",48,48
jJh3LSMXQxCc2M9Rknkc9Q,Suresh Textile  corporation ,185,"15/07/2025, 12:32:00",45143,Netcash,29,"7.50*46, 52*48, p*d",421.5,32
3r4gZnxCRP2zIzdbJ.gb4A,M/s Mahalaxmi Fabrics,186,"15/07/2025, 12:36:00",304072,Netcash,25,"63"", 3/84*58, 30pv*15pv Twill (shirting)",3823,20
r.BY1S5QTbCbwHdNtW5bBQ,Suraj cloth corporation ,187,"15/07/2025, 12:37:00",41156,70 days ,30,"7m*41, 52*40, pc*d",511.5,32
T4Jp6NyzQ7W5gg5i2nKTkQ,Motishree Textiles,188,"16/07/2025, 12:38:00",117219,Super,24,"7.70*50, 68*60, pc*psf",687,55
3OknEQdvSRqhk4aZmwMSOg,Govind Textiles Agency ,189,"17/07/2025, 12:39:00",84540,Netcash ,35,"6.40*48, 64*52, 60c*60C",426,34
sKaDbgVoTYqO4O824OLbRA,Saurabh synthetics ,190,"17/07/2025, 12:39:00",56076,Netcash,31,"40"", 52*40, pc*d",6123.2,50
MQ.0-wKqSeCv-JUyvduisQ,Dinesh Texcom,191,"18/07/2025, 12:40:00",98455,70 days ,40,"8.50*49, 72*68, 64pc*65*psf",466.5,42
pnjyPssjSwKX8.92W-v1PQ,Maharaja trading company ,192,"18/07/2025, 17:38:00",56085,Netcash,7,"40"", 52*40, pc*d",6124.2,50
L6Fz7Hq5Qwitoa63YJLbHw,Shri Sachiya Fabrics,193,"18/07/2025, 17:39:00",5056,90 days ,2,"7.90*41, 52*44, pc*d",53.5,5
Z5vcbvyUThO6Jp6OBML0XQ,Astha fabrics ,194,"19/07/2025, 17:40:00",58274,Netcash,36,"48"", 63*60, 57pc*65psf",3491,21
YTmHCXa9QlGxQ9TzJ.DcTA,Aditya garment industry ,195,"19/07/2025, 17:44:00",130729,45 days,,"47"", 74*64, 45pc*45pc",5164.4,50
