🔒 Row ID,contract no.,party name ,date,quality,amount,Rate,terms,delivery period ,delivery total,additional notes,balance delivery,New Column,New Column A,Broker
9ABLgi2JSFeQSjVjsPklSQ,1,mallinath cotton mills,"31/05/2025, 13:02:00","6.40*48"" 64*52, 60*60 ",1000,189,Ncash,from 1.7.25,941,350 per 2 weeks ,59,,,
Dil9nHieTf22xOn-Ku1sAQ,2,Shri Sachiya Fabrics,"07/06/2025, 13:13:00","7.90*41"" 52*44, Pc*d",3300,90,90 days,1.7.25 start,1856.5,no second,1443.5,,,
GzA9HXSASLCO86eW3LCD8g,3,shriniwas bang,"30/05/2025, 13:18:00","4.80*45"" 72*64, 60*80 patti ",400,157,30 days ,ASAP,376,"golden 300 , zari 100",24,,,
4NKvtfnfQwKcIxH5t81.Ng,4,Govind Textiles Agency ,"07/06/2025, 13:19:00","4.80*45"" 72*64, 60*80 patti ",500,157,Ncash,ASAP,489,"2 khaki, 1 bhagwa, 1 zari",11,,,
auhaiKqvT8CuvLCWIqjbSA,5,Poonamchand gulabchand ,"07/06/2025, 18:37:00","4.80*45"" 72*64, 60*80 patti ",400,148,Ncash,Asap,0,72*56 pick ,400,,,
r7sGCSekQ7eJBUPSEUyg4g,6,Govind Textiles Agency ,,"6.40*48"" 64*52, 60*60 ",400,189,Ncash,,400,,0,,,
vcWjsCgDQyCRq-AX3z9q8A,7,Maharaja trading company ,"18/06/2025, 12:43:00","40"" 52*40, pc*d",12000,8.81,Ncash,50+50 ,18368.5,15-20 days payment,-6368.5,,,
4Wwk9UqKTb-NomixZdY5.w,8,Matulya Textiles ,"18/06/2025, 12:45:00","40"" 52*40, pc*d",5000,8.75,Ncash,Asap,5100.6,,-100.6,,,
1l2CXARaQ.mIILGdV89BqA,9,Unnati texcom,"21/06/2025, 13:47:00","7.80*44"" 60*52, pc*psf (century)",450,126.5,70 days,10 day,413.5,,36.5,,,
qFCJH9BAT2esGoNFRKygdg,10,Saket Cotton Mills,"22/06/2025, 12:07:00","7m*41, 52*40, pc*d",350,78,70 days,Asap,384,"B- mahesh jaju ,",-34,249,18,
a4JHAK8xSyaObvFgDuK8FQ,11,M Harishkumar,"23/06/2025, 13:21:00","7.70*50, 68*60, pc*psf",300,168,70 days,15 days ,328.5,No second,-28.5,355,30,
iQZcjsh9QPmfiscHyrWqQA,13,M Harishkumar,"23/06/2025, 17:58:00","47"", 74*64, 45pc*45pc",2021.9,24.25,Ncash,Asap,2021.9,7 day payment ,0,11728.52,105.5,
Z75043ZmRMCDwZO4AoyQ4g,14,mallinath cotton mills,"23/06/2025, 10:20:00","7.50*46, 52*48, p*d",500,98.25,90 days,Ready,517,"80 days payment ,nk jain ",-17,2019,115,
wsiHtz0pTUGVc9gPRwPsdA,12,Shri Sachiya Fabrics,"07/06/2025, 10:27:00","4m*42, 60*48, 60*60, patti ",1000,95.5,Ncash,"8 days 500, 15-20 days 500",815.5,"Mix colour, no second",184.5,-744.5,-32,
WkeyFZI5Qbu7REUO4Yc4wA,15,Rajkamal cotton mills,"24/06/2025, 13:13:00","47"", 74*64, 45pc*45pc",1858.8,24,Ncash,Asap,1858.8,2% cd ,0,11728.52,105.5,
AoM2ztBuTsi2vzW669RqHw,16,J.k Tex,"25/06/2025, 10:37:00","7.70*52, 72*68",300,202,Ncash,Asap ,285.5,,14.5,-198.5,-19,
kNVweLohT563yypOfdrgzA,17,Vinayak finishers,"25/06/2025, 10:43:00","47"", 74*64, 45pc*45pc",50,24.5,Ncash,2-3 days,2064.48,"40-50 days payment, something second about 100-104",-2014.48,11728.52,105.5,
TLU.IWQbTI-iGX43rGItcQ,18,Mohit fabric,"25/06/2025, 19:34:00","7.80*44, 60*52, 64pc*65psf",400,126.5,70 days,Ready ,411.5,Kailash baheti broker ,-11.5,651,54,
aYbxDF1DSPmQSYPoOnZlIQ,19,Sushil Trading Company ,"26/06/2025, 17:34:00","7.80*44, 60*52, 64pc*65psf",1600,127,Ncash,550* 3,1555,"2nd day payment 4%cd , start from 3/7/25",45,651,54,
XIbjdoV1QyuQrSb7iVdnIg,20,Suraj cloth corporation ,"30/06/2025, 12:31:00","7m*41, 52*40, pc*d",1000,78,70 days,Ready,977.5,"3% cd if netcash , k baheti ",22.5,249,18,
p5FZRr6cRUupn4M2vWryRw,21,Mishrimal babulal,"02/07/2025, 12:35:00","48"", 63*60, 57pc*65psf",50,15.65,Ncash,Ready,7959.3,Arun kabra ,-7909.3,3664.8,-6,
J50oB5JiTlGiMfvV-DE2vQ,22,Shri Chanda Textile Mills ,"02/07/2025, 12:37:00","7.70*52, 72*68",251,202,Ncash,15-20 days ,277,"3% cd 15 day payment - shivam process , m patni ",-26,-198.5,-19,
trpZ8yKGT0qaMdAsQV5uBA,23,Vineet Textiles ,"04/07/2025, 17:07:00","7.50*46, 52*48, p*d",,98.5,Ncash,10 days ,0,8 days payment ,,2019,115,N.K Jain 
DScH1rlmQGyUsCjfZH2igg,24,Motishree Textiles,"05/07/2025, 11:37:00","7.70*50, 68*60, pc*psf",2100,162.5,Ncash,15/7/25 to 20/10/25,1008,,1092,355,30,N.K Jain 
4SJFLDySTGGz6iX9mRTxyA,25,M/s Mahalaxmi Fabrics,"08/07/2025, 18:16:00","63"", 3/84*58, 30pv*15pv Twill (shirting)",15000,75.75,30 days ,45 days ,15220,Rolling ,-220,5741,31,Ankit Bafna 
Pn-qsXOCRsKq3AQi5fRA5g,26,Saurabh synthetics ,"07/07/2025, 16:55:00","40"", 52*40, pc*d",100,8.75,Ncash,Ready,12309.6,100 taga,-12209.6,3197.5,-231,S.N Mantri
Yiv0SxKZReCuBKG2cxOR1A,27,Subhash synthetic,"09/07/2025, 16:56:00","40"", 52*40, pc*d",200,8.81,Ncash,,150,,50,3197.5,-231,S.N Mantri
1e3MpQS6RdKWy4e.TsJryw,28,Swastik Fabric,"09/07/2025, 16:57:00","6.40*48, 64*52, 60c*60C",400,189,Ncash,Saturday ,385.5,,14.5,373.5,33,Ajit rathore
sHuteF6UTJqtWoXaJfbEkA,29,Suresh fabrics,"11/07/2025, 12:37:00","7.50*46, 52*48, p*d",400,102,Ncash,Asap,421.5,Direct ,-21.5,2019,115,
xWFnkZHpS1WsM-9W4d719w,30,Suraj cloth corporation ,"10/07/2025, 12:39:00","7m*41, 52*40, pc*d",1000,79,70 days,Ehh,991.5,If netcash 3%cd ,8.5,249,18,Suresh Bangad
Y1EeLNuuTzi8gD956qlcNQ,31,Saurabh synthetics ,"11/07/2025, 14:01:00","40"", 52*40, pc*d",150,8.81,Ncash,,6123.2,,-5973.2,3197.5,-231,S.N Mantri
J.6YusCzSZ6zZhYbgMpFxw,32,Suresh fabrics,"29/06/2025, 18:36:00","4.80*45, 72*64, 64c*84c",1700,157,Ncash,29-6-25 se chalu ,812.5,1 golden 1 white 2 brown ,887.5,377,16,N.K Jain 
vujtmz6AR8ye-QPHsSc5ZQ,33,Harsh creation ,"12/07/2025, 18:41:00","63"", 3/84*58, 30pv*15pv Twill (shirting)",10000,77,30 days ,,7596,340 gm appx / rolling .. 0.50 rebate ,2404,5741,31,Ankit Bafna 
a-Rm4ovOgSL-Zp3s4eBO30w,34,Mishrimal babulal,"14/07/2025, 19:02:00","48"", 63*60, 57pc*65psf",50,15.7,Ncash,,48,Arun kabra,2,3664.8,-6,
N1S4NGSfSUG9HaUNLTQdCg,35,Govind Textiles Agency ,"14/07/2025, 19:04:00","6.40*48, 64*52, 60c*60C",400,189,Ncash,,426,,-26,373.5,33,N.K Jain 
Fjqy.D-ITeC35ML51nsqUw,36,Astha fabrics ,"15/07/2025, 19:05:00","48"", 63*60, 57pc*65psf",21,16,Ncash,,3491,Dispatch to navbharat industries dombivali ,-3470,3664.8,-6,
